Name.,Vmag.,RA_deg.,Dec_deg.,SpType.,Parallax_arcsec.,Distance_ly.,Constellation
   Alp Eri.,0.46.,24.42875.,-57.236667.,  B3Vpe             .,0.026.,125.4446154.,Eri
  6Bet Ari.,2.64.,28.66.,20.808056.,  A5V               .,0.074.,44.07513514.,Ari
   Alp Hyi.,2.86.,29.6925.,-61.569722.,  F0V               .,0.048.,67.94916667.,Hyi
 57Gam1And.,2.26.,30.975.,42.329722.,  K3-IIb            .,0.013.,250.8892308.,57Gam1And
 13Alp Ari.,2.,31.793333.,23.4625.,  K2-IIICa-1        .,0.049.,66.56244898.,Ari
 92Alp Cet.,2.53.,45.57.,4.089722.,  M1.5IIIa          .,0.009.,362.3955556.,Cet
 23Gam Per.,2.93.,46.199167.,53.506389.,  G8III+A2V         .,0.016.,203.8475.,Per
 26Bet Per.,2.12.,47.042083.,40.955556.,  B8V               .,0.045.,72.47911111.,Per
 33Alp Per.,1.79.,51.080833.,49.861111.,  F5Ib              .,0.016.,203.8475.,Per
 25Eta Tau.,2.87.,56.87125.,24.105.,  B7IIIe            .,0.008.,407.695.,Tau
 44Zet Per.,2.85.,58.532917.,31.883611.,  B1Ib              .,0.01.,326.156.,Per
 45Eps Per.,2.89.,59.463333.,40.010278.,  B0.5V+A2V         .,0.009.,362.3955556.,Per
 34Gam Eri.,2.95.,59.5075.,-13.508611.,  M0.5IIICa-1Cr-1   .,0.01.,326.156.,Eri
 87Alp Tau.,0.85.,68.98.,16.509167.,  K5+III            .,0.048.,67.94916667.,Tau
  3Iot Aur.,2.69.,74.248333.,33.166111.,  K3II              .,0.021.,155.312381.,Aur
  7Eps Aur.,2.99.,75.492083.,43.823333.,  F0Iae+B           .,0.007.,465.9371429.,Aur
 67Bet Eri.,2.79.,76.9625.,-5.086389.,  A3III             .,0.05.,65.2312.,Eri
 13Alp Aur.,0.08.,79.1725.,45.998056.,  G5IIIe+G0III      .,0.073.,44.67890411.,Aur
 19Bet Ori.,0.12.,78.634583.,-8.201667.,  B8Ia:             .,0.013.,250.8892308.,Ori
 24Gam Ori.,1.64.,81.282917.,6.349722.,  B2III             .,0.029.,112.4675862.,Ori
112Bet Tau.,1.65.,81.572917.,28.6075.,  B7III             .,0.028.,116.4842857.,Tau
  9Bet Lep.,2.84.,82.06125.,-20.759444.,  G5II              .,0.02.,163.078.,Lep
 34Del Ori.,2.23.,83.001667.,-0.299167.,  O9.5II            .,0.014.,232.9685714.,Ori
 11Alp Lep.,2.58.,83.1825.,-17.822222.,  F0Ib              .,0.007.,465.9371429.,Lep
 44Iot Ori.,2.77.,83.858333.,-5.91.,  O9III             .,0.025.,130.4624.,Ori
 46Eps Ori.,1.7.,84.053333.,-1.201944.,  B0Ia              .,-0.002.,.,Ori
 50Zet Ori.,2.05.,85.189583.,-1.942778.,  O9.7Ib            .,0.024.,135.8983333.,Ori
   Alp Col.,2.64.,84.912083.,-34.074167.,  B7IVe             .,0.001.,3261.56.,Col
 53Kap Ori.,2.06.,86.939167.,-9.669722.,  B0.5Ia            .,0.015.,217.4373333.,Ori
 58Alp Ori.,0.5.,88.792917.,7.406944.,  M1-2Ia-Iab        .,0.005.,652.312.,Ori
 34Bet Aur.,1.9.,89.882083.,44.9475.,  A2IV              .,0.041.,79.5502439.,Aur
