Name,Vmag,RA_deg,Dec_deg,SpType,Parallax_arcsec,Distance_ly,Constellation
 33    Psc,4.61,1.33375,-5.7075,  K0IIIbCN-0.5      ,0.014,232.9685714,Psc
 21Alp And,2.06,2.097083,29.090556,  B8IVpMnHg         ,0.032,101.92375,And
 11Bet Cas,2.27,2.294583,59.149722,  F2III-IV          ,0.072,45.29944444,Cas
   Eps Phe,3.88,2.352917,-45.7475,  K0III             ,0.066,49.41757576,Phe
  6    Cet,4.89,2.81625,-15.468056,  F7V               ,0.067,48.68,Cet
 88Gam Peg,2.83,3.309167,15.183611,  B2IV              ,-0.002,,Peg
 89Chi Peg,4.8,3.650833,20.206667,  M2+III            ,0.015,217.4373333,Peg
  7    Cet,4.44,3.66,-18.932778,  M3III             ,0.029,112.4675862,Cet
 24The And,4.61,4.272917,38.681667,  A2V               ,0.022,148.2527273,And
 25Sig And,4.52,4.582083,36.785278,  A2V               ,0.023,141.8069565,And
  8Iot Cet,3.56,4.857083,-8.823889,  K1.5III           ,0.013,250.8892308,Cet
   Zet Tuc,4.23,5.017917,-64.874722,  F9V               ,0.134,24.34,Tuc
   Bet Hyi,2.8,6.437917,-77.254167,  G2IV              ,0.153,21.31738562,Hyi
   Alp Phe,2.39,6.570833,-42.306111,  K0III             ,0.035,93.18742857,Phe
   Kap Phe,3.94,6.550833,-43.68,  A7V               ,0.072,45.29944444,Phe
   Eta Scl,4.81,6.982083,-33.007222,  M4III             ,-0.014,,Scl
 14Lam Cas,4.73,7.943333,54.522222,  B8Vn              ,0.03,108.7186667,Cas
   Lam1Phe,4.77,7.854167,-48.803611,  A0V               ,0.027,120.7985185,Lam1Phe
   Bet1Tuc,4.37,7.88625,-62.958056,  B9V               ,0.03,108.7186667,Bet1Tuc
   Bet2Tuc,4.54,7.89,-62.965833,  A2V+A7V           ,0.03,108.7186667,Bet2Tuc
 15Kap Cas,4.16,8.25,62.931667,  B1Ia              ,,,Cas
 17Zet Cas,3.66,9.242917,53.896944,  B2IV              ,0.004,815.39,Cas
 29Pi  And,4.36,9.220417,33.719444,  B5V               ,-0.003,,And
 30Eps And,4.37,9.63875,29.311667,  G6IIIFe-3CH1      ,0.031,105.2116129,And
 31Del And,3.27,9.832083,30.860833,  K3III             ,0.028,116.4842857,And
 18Alp Cas,2.23,10.127083,56.537222,  K0IIIa            ,0.016,203.8475,Cas
 19Xi  Cas,4.8,10.51625,50.5125,  B2V               ,,,Cas
   Mu  Phe,4.59,10.331667,-46.085,  G8III             ,0.004,815.39,Phe
 20Pi  Cas,4.94,10.867083,47.024722,  A5V               ,0.023,141.8069565,Cas
 16Bet Cet,2.04,10.8975,-17.986667,  G9.5IIICH-1       ,0.061,53.46819672,Cet
   Eta Phe,4.36,10.838333,-57.463056,  A0IV              ,0.046,70.90347826,Phe
 22Omi Cas,4.54,11.18125,48.284444,  B5IIIe            ,,,Cas
 17Phi1Cet,4.76,11.0475,-10.609444,  K0III             ,0.022,148.2527273,17Phi1Cet
 34Zet And,4.06,11.834583,24.267222,  K1IIe             ,0.037,88.15027027,And
 24Eta Cas,3.44,12.275,57.815833,  F9V+dM0           ,0.176,18.53159091,Cas
 25Nu  Cas,4.89,12.20875,50.968333,  B9III             ,,,Cas
 63Del Psc,4.43,12.170833,7.585,  K4IIIb            ,0.019,171.6610526,Psc
 35Nu  And,4.53,12.453333,41.078889,  B5V+F8V           ,,,And
          ,4.82,13.267083,61.124167,  F8V               ,0.066,49.41757576,
 20    Cet,4.77,13.252083,-1.144167,  M0III             ,-0.003,,Cet
 26Ups1Cas,4.83,13.750417,58.972778,  K2III             ,0.006,543.5933333,26Ups1Cas
 27Gam Cas,2.47,14.177083,60.716667,  B0IVe             ,0.016,203.8475,Cas
 28Ups2Cas,4.63,14.165833,59.181111,  G8IIIbFe-0.5      ,0.051,63.95215686,28Ups2Cas
 37Mu  And,3.87,14.188333,38.499444,  A5V               ,0.039,83.62974359,And
 38Eta And,4.42,14.301667,23.4175,  G8IIIb            ,0.009,362.3955556,And
   Alp Scl,4.31,14.651667,-29.3575,  B7IIIp            ,,,Scl
          ,4.25,17.18625,86.256944,  K2II-III          ,,,
 71Eps Psc,4.28,15.735833,7.89,  K0III             ,0.027,120.7985185,Psc
   Bet Phe,3.31,16.520833,-46.718611,  G8III             ,0.021,155.312381,Phe
 31Eta Cet,3.45,17.1475,-10.182222,  K1.5IIICN1Fe0.5   ,0.041,79.5502439,Cet
 42Phi And,4.25,17.375833,47.241944,  B7Ve              ,0.003,1087.186667,And
 43Bet And,2.06,17.432917,35.620556,  M0+IIIa           ,0.049,66.56244898,And
   Zet Phe,3.92,17.09625,-55.245833,  B6V+B9V           ,0.013,250.8892308,Phe
 33The Cas,4.33,17.775833,55.149722,  A7V               ,0.014,232.9685714,Cas
 84Chi Psc,4.66,17.863333,21.034722,  G8.5III-IIIa      ,0.015,217.4373333,Psc
 83Tau Psc,4.51,17.915,30.089722,  K0.5IIIb          ,0.023,141.8069565,Psc
 85Phi Psc,4.65,18.437083,24.583611,  K0III             ,0.007,465.9371429,Psc
   Nu  Phe,4.96,18.79625,-45.531389,  F8V               ,0.069,47.26898551,Phe
   Kap Tuc,4.86,18.942083,-68.876111,  F6IV              ,0.061,53.46819672,Tuc
 34Phi Cas,4.98,20.020417,58.231667,  F0Ia              ,-0.003,,Cas
 90Ups Psc,4.76,19.866667,27.264167,  A3V               ,0.019,171.6610526,Psc
 46Xi  And,4.88,20.585,45.528889,  K0-IIIb           ,0.026,125.4446154,And
 36Psi Cas,4.74,21.483333,68.13,  K0III             ,0.013,250.8892308,Cas
 45The Cet,3.6,21.005833,-8.183333,  K0III-IIIb        ,0.041,79.5502439,Cet
 37Del Cas,2.68,21.454167,60.235278,  A5III-IV          ,0.037,88.15027027,Cas
 46    Cet,4.9,21.405,-14.598889,  K2.5IIIb          ,0.007,465.9371429,Cet
 48Ome And,4.83,21.914167,45.406667,  F5IV              ,0.03,108.7186667,And
  1Alp UMi (Polaris),2.02,37.952917,89.264167,  F7:Ib-II          ,0.007,465.9371429,UMi
   Gam Phe,3.41,22.09125,-43.318333,  M0-IIIa           ,0,,Phe
 98Mu  Psc,4.84,22.54625,6.143889,  K4III             ,0.018,181.1977778,Psc
 99Eta Psc,3.62,22.870833,15.345833,  G7IIIa            ,0.015,217.4373333,Psc
